policy,knowledge_base,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,accuracy_values,average_reward_mean,average_reward_std,average_reward_min,average_reward_max,average_reward_values,retrieval_rate_mean,retrieval_rate_std,retrieval_rate_min,retrieval_rate_max,retrieval_rate_values,retrieval_cost_mean,retrieval_cost_std,retrieval_cost_min,retrieval_cost_max,retrieval_cost_values,drifted_accuracy_mean,drifted_accuracy_std,drifted_accuracy_min,drifted_accuracy_max,drifted_accuracy_values,stable_accuracy_mean,stable_accuracy_std,stable_accuracy_min,stable_accuracy_max,stable_accuracy_values
adapted_policy,kb_b,0.8768577494692145,0.03141963606570858,0.8407643312101911,0.8980891719745223,"[0.89171974522293, 0.8980891719745223, 0.8407643312101911]",0.41613588110403404,0.001838695124807725,0.4140127388535032,0.4171974522292994,"[0.4171974522292994, 0.4171974522292994, 0.4140127388535032]",0.6751592356687898,0.12202066280680267,0.535031847133758,0.7579617834394905,"[0.732484076433121, 0.7579617834394905, 0.535031847133758]",0.3375796178343949,0.061010331403401334,0.267515923566879,0.37898089171974525,"[0.3662420382165605, 0.37898089171974525, 0.267515923566879]",0.8143459915611815,0.10309528880059587,0.6962025316455697,0.8860759493670886,"[0.8607594936708861, 0.8860759493670886, 0.6962025316455697]",0.9401709401709403,0.04121218273928615,0.9102564102564102,0.9871794871794872,"[0.9230769230769231, 0.9102564102564102, 0.9871794871794872]"
always_direct,kb_a,1.0,0.0,1.0,1.0,"[1.0, 1.0, 1.0]",1.0,0.0,1.0,1.0,"[1.0, 1.0, 1.0]",0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",,,,,[],1.0,0.0,1.0,1.0,"[1.0, 1.0, 1.0]"
always_direct,kb_b,0.4968152866242039,0.0,0.4968152866242038,0.4968152866242038,"[0.4968152866242038, 0.4968152866242038, 0.4968152866242038]",-0.006369426751592358,0.0,-0.006369426751592357,-0.006369426751592357,"[-0.006369426751592357, -0.006369426751592357, -0.006369426751592357]",0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",1.0,0.0,1.0,1.0,"[1.0, 1.0, 1.0]"
always_retrieve,kb_a,0.7961783439490446,0.006369426751592355,0.7898089171974523,0.802547770700637,"[0.7961783439490446, 0.7898089171974523, 0.802547770700637]",0.09235668789808917,0.012738853503184717,0.07961783439490445,0.10509554140127389,"[0.09235668789808917, 0.07961783439490445, 0.10509554140127389]",1.0,0.0,1.0,1.0,"[1.0, 1.0, 1.0]",0.5,0.0,0.5,0.5,"[0.5, 0.5, 0.5]",,,,,[],0.7961783439490446,0.006369426751592355,0.7898089171974523,0.802547770700637,"[0.7961783439490446, 0.7898089171974523, 0.802547770700637]"
always_retrieve,kb_b,0.7791932059447984,0.0073547804992309,0.7707006369426752,0.7834394904458599,"[0.7834394904458599, 0.7834394904458599, 0.7707006369426752]",0.0583864118895966,0.014709560998461803,0.041401273885350316,0.06687898089171974,"[0.06687898089171974, 0.06687898089171974, 0.041401273885350316]",1.0,0.0,1.0,1.0,"[1.0, 1.0, 1.0]",0.5,0.0,0.5,0.5,"[0.5, 0.5, 0.5]",0.8818565400843882,0.01933576242597399,0.8607594936708861,0.8987341772151899,"[0.8987341772151899, 0.8860759493670886, 0.8607594936708861]",0.6752136752136751,0.007401926528072163,0.6666666666666666,0.6794871794871795,"[0.6666666666666666, 0.6794871794871795, 0.6794871794871795]"
full_retrain_policy,kb_b,0.8853503184713376,0.029188380222648656,0.8535031847133758,0.910828025477707,"[0.910828025477707, 0.89171974522293, 0.8535031847133758]",0.4447983014861996,0.04662460988534553,0.39490445859872614,0.4872611464968153,"[0.4872611464968153, 0.39490445859872614, 0.45222929936305734]",0.6518046709129511,0.13456434715491147,0.5095541401273885,0.7770700636942676,"[0.6687898089171974, 0.7770700636942676, 0.5095541401273885]",0.32590233545647557,0.06728217357745574,0.25477707006369427,0.3885350318471338,"[0.3343949044585987, 0.3885350318471338, 0.25477707006369427]",0.8270042194092827,0.09157187516544602,0.7215189873417721,0.8860759493670886,"[0.8734177215189873, 0.8860759493670886, 0.7215189873417721]",0.9444444444444445,0.04502416133697752,0.8974358974358975,0.9871794871794872,"[0.9487179487179487, 0.8974358974358975, 0.9871794871794872]"
old_policy,kb_a,1.0,0.0,1.0,1.0,"[1.0, 1.0, 1.0]",0.9978768577494691,0.001838695124807725,0.9968152866242038,1.0,"[1.0, 0.9968152866242038, 0.9968152866242038]",0.004246284501061571,0.0036773902496154507,0.0,0.006369426751592357,"[0.0, 0.006369426751592357, 0.006369426751592357]",0.0021231422505307855,0.0018386951248077254,0.0,0.0031847133757961785,"[0.0, 0.0031847133757961785, 0.0031847133757961785]",,,,,[],1.0,0.0,1.0,1.0,"[1.0, 1.0, 1.0]"
old_policy,kb_b,0.5031847133757962,0.006369426751592355,0.4968152866242038,0.5095541401273885,"[0.4968152866242038, 0.5031847133757962, 0.5095541401273885]",0.0021231422505307855,0.00972946007421622,-0.006369426751592357,0.012738853503184714,"[-0.006369426751592357, 0.0, 0.012738853503184714]",0.008492569002123142,0.007354780499230901,0.0,0.012738853503184714,"[0.0, 0.012738853503184714, 0.012738853503184714]",0.004246284501061571,0.0036773902496154507,0.0,0.006369426751592357,"[0.0, 0.006369426751592357, 0.006369426751592357]",0.012658227848101266,0.012658227848101266,0.0,0.02531645569620253,"[0.0, 0.012658227848101266, 0.02531645569620253]",1.0,0.0,1.0,1.0,"[1.0, 1.0, 1.0]"
random,kb_a,0.881104033970276,0.0073547804992309,0.8726114649681529,0.8853503184713376,"[0.8853503184713376, 0.8853503184713376, 0.8726114649681529]",0.5042462845010616,0.04240973323872224,0.4554140127388535,0.5318471337579618,"[0.5254777070063694, 0.5318471337579618, 0.4554140127388535]",0.5159235668789809,0.05552737507695124,0.47770700636942676,0.5796178343949044,"[0.49044585987261147, 0.47770700636942676, 0.5796178343949044]",0.25796178343949044,0.02776368753847562,0.23885350318471338,0.2898089171974522,"[0.24522292993630573, 0.23885350318471338, 0.2898089171974522]",,,,,[],0.881104033970276,0.0073547804992309,0.8726114649681529,0.8853503184713376,"[0.8853503184713376, 0.8853503184713376, 0.8726114649681529]"
random,kb_b,0.6326963906581741,0.038917840296864875,0.5987261146496815,0.6751592356687898,"[0.5987261146496815, 0.6751592356687898, 0.6242038216560509]",0.0031847133757961776,0.06345496447506775,-0.03503184713375796,0.07643312101910828,"[-0.03503184713375796, 0.07643312101910828, -0.03184713375796178]",0.524416135881104,0.051875973345522776,0.46496815286624205,0.5605095541401274,"[0.46496815286624205, 0.5477707006369427, 0.5605095541401274]",0.262208067940552,0.025937986672761388,0.23248407643312102,0.2802547770700637,"[0.23248407643312102, 0.27388535031847133, 0.2802547770700637]",0.44725738396624476,0.0511576187889542,0.3924050632911392,0.4936708860759494,"[0.3924050632911392, 0.4936708860759494, 0.45569620253164556]",0.8205128205128206,0.03391988860339217,0.7948717948717948,0.8589743589743589,"[0.8076923076923077, 0.8589743589743589, 0.7948717948717948]"
