policy,knowledge_base,training_average_reward,accuracy,average_reward,retrieval_rate,retrieval_cost,drifted_accuracy,stable_accuracy,approval_baseline_accuracy,approval_baseline_retrieval_cost,recovery_baseline_accuracy,approval_status,recovery_status
old_policy,kb_a,0.6187261146496815,1.0,0.9968152866242038,0.006369426751592357,0.0031847133757961785,,1.0,0.7707006369426752,0.5,1.0,N/A,N/A
old_policy,kb_b,,0.5095541401273885,0.012738853503184714,0.012738853503184714,0.006369426751592357,0.02531645569620253,1.0,0.7707006369426752,0.5,1.0,N/A,N/A
adapted_policy,kb_b,0.08456475583864119,0.8407643312101911,0.4140127388535032,0.535031847133758,0.267515923566879,0.6962025316455697,0.9871794871794872,0.7707006369426752,0.5,1.0,APPROVED,NOT_RECOVERED
full_retrain_policy,kb_b,0.08176220806794054,0.8535031847133758,0.45222929936305734,0.5095541401273885,0.25477707006369427,0.7215189873417721,0.9871794871794872,0.7707006369426752,0.5,1.0,APPROVED,NOT_RECOVERED
always_direct,kb_a,,1.0,1.0,0.0,0.0,,1.0,0.7707006369426752,0.5,1.0,N/A,N/A
always_direct,kb_b,,0.4968152866242038,-0.006369426751592357,0.0,0.0,0.0,1.0,0.7707006369426752,0.5,1.0,N/A,N/A
always_retrieve,kb_a,,0.802547770700637,0.10509554140127389,1.0,0.5,,0.802547770700637,0.7707006369426752,0.5,1.0,N/A,N/A
always_retrieve,kb_b,,0.7707006369426752,0.041401273885350316,1.0,0.5,0.8607594936708861,0.6794871794871795,0.7707006369426752,0.5,1.0,N/A,N/A
random,kb_a,,0.8726114649681529,0.4554140127388535,0.5796178343949044,0.2898089171974522,,0.8726114649681529,0.7707006369426752,0.5,1.0,N/A,N/A
random,kb_b,,0.6242038216560509,-0.03184713375796178,0.5605095541401274,0.2802547770700637,0.45569620253164556,0.7948717948717948,0.7707006369426752,0.5,1.0,N/A,N/A
